tgl_publish,judul,link
"2019-09-29 07:30:00","Safrida Yuliani Resmi Jadi Ketua Dharma Wanita Setda Aceh",https://infopublik.id/kategori/nusantara/376564/safrida-yuliani-resmi-jadi-ketua-dharma-wanita-setda-aceh
"2019-09-29 07:34:00","Pemerintah Aceh Komitmen Tingkatkan Proporsi Energi Baru Terbarukan",https://infopublik.id/kategori/nusantara/376563/pemerintah-aceh-komitmen-tingkatkan-proporsi-energi-baru-terbarukan
"2019-09-30 05:24:00","Wali Kota Ajak Pertamedika Bersinergi Dalam Wujudkan Banda Aceh Sehat",https://infopublik.id/kategori/nusantara/376673/wali-kota-ajak-pertamedika-bersinergi-dalam-wujudkan-banda-aceh-sehat
"2019-10-01 06:29:00","Pemerintah Aceh Peringati Hari Kesaktian Pancasila",https://infopublik.id/kategori/nusantara/377173/pemerintah-aceh-peringati-hari-kesaktian-pancasila
"2019-10-01 06:37:00","Nilam Solusi Terbaik Penuntasan Kemiskinan Aceh",https://infopublik.id/kategori/nusantara/377171/nilam-solusi-terbaik-penuntasan-kemiskinan-aceh
"2019-10-01 06:40:00","Dekranasda Banda Aceh Gelar Pelatihan Tenun Songket Aceh",https://infopublik.id/kategori/nusantara/377170/dekranasda-banda-aceh-gelar-pelatihan-tenun-songket-aceh
"2019-10-01 06:49:00"," Banda Aceh Akan Bangun GOR Serba Guna Tahun 2020",https://infopublik.id/kategori/nusantara/377169/banda-aceh-akan-bangun-gor-serba-guna-tahun-2020
"2019-10-01 06:53:00","Aminullah Minta Persiraja Waspadai Babel United",https://infopublik.id/kategori/nusantara/377168/aminullah-minta-persiraja-waspadai-babel-united
"2019-10-01 07:51:00","Kakanwil: Pesantren Telah Memberikan Sumbangsih Besar Untuk Negeri Ini",https://infopublik.id/kategori/nusantara/377447/kakanwil-pesantren-telah-memberikan-sumbangsih-besar-untuk-negeri-ini
"2019-10-01 07:57:00","Wali Kota Sabang Buka Rapat Evaluasi Program PD Pondok Pesantren 2019",https://infopublik.id/kategori/nusantara/377446/wali-kota-sabang-buka-rapat-evaluasi-program-pd-pondok-pesantren-2019
"2019-10-01 08:00:00","Tingkatkan Wawasan Kader, PKK Banda Aceh Gelar Jambore",https://infopublik.id/kategori/nusantara/377445/tingkatkan-wawasan-kader-pkk-banda-aceh-gelar-jambore
"2019-10-01 08:03:00","Asisten I Sekda Aceh Serahkan SK Kenaikan Pangkat Kepada 77 ASN",https://infopublik.id/kategori/nusantara/377444/asisten-i-sekda-aceh-serahkan-sk-kenaikan-pangkat-kepada-77-asn
"2019-10-01 08:08:00","Pemerintah Aceh Komitmen Terhadap Pelaksanaan Undang-Undang Jasa Konstruksi",https://infopublik.id/kategori/nusantara/377443/pemerintah-aceh-komitmen-terhadap-pelaksanaan-undang-undang-jasa-konstruksi
"2019-10-01 12:02:00","Aminullah Minta Persiraja Tabuhkan Semangat Juang",https://infopublik.id/kategori/nusantara/378123/aminullah-minta-persiraja-tabuhkan-semangat-juang
"2019-10-01 12:08:00","Wali Kota Banda Aceh Studi Tiru ke PDAM Tirtanadi Medan",https://infopublik.id/kategori/nusantara/378122/wali-kota-banda-aceh-studi-tiru-ke-pdam-tirtanadi-medan
"2019-10-01 14:16:00","DPMPTSP Aceh Optimis Pertumbuhan Investasi Tahun 2019 Tercapai Rp4 Triliun",https://infopublik.id/kategori/nusantara/377955/dpmptsp-aceh-optimis-pertumbuhan-investasi-tahun-2019-tercapai-rp4-triliun
"2019-10-01 14:18:00","Dinsos Aceh Antar Bantuan Untuk Korban Angin Puting Beliung di Gayo Lues",https://infopublik.id/kategori/nusantara/378125/dinsos-aceh-antar-bantuan-untuk-korban-angin-puting-beliung-di-gayo-lues
"2019-10-01 14:22:00","Listrik Gratis, Sumur Bor dan Pemasangan Gas Untuk Rakyat",https://infopublik.id/kategori/nusantara/377956/listrik-gratis-sumur-bor-dan-pemasangan-gas-untuk-rakyat
